InvoiceNo,StockCode,Quantity,UnitPrice,Country,id_data
536365,85123A,6,2.55,United Kingdom,1
536365,71053,6,3.39,United Kingdom,2
536365,84406B,8,2.75,United Kingdom,3
536365,84029G,6,3.39,United Kingdom,4
536365,84029E,6,3.39,United Kingdom,5
536365,22752,2,7.65,United Kingdom,6
536365,21730,6,4.25,United Kingdom,7
536366,22633,6,1.85,United Kingdom,8
536366,22632,6,1.85,United Kingdom,9
536367,84879,32,1.69,United Kingdom,10
536367,22745,6,2.1,United Kingdom,11
536367,22748,6,2.1,United Kingdom,12
536367,22749,8,3.75,United Kingdom,13
536367,22310,6,1.65,United Kingdom,14
536367,84969,6,4.25,United Kingdom,15
536367,22623,3,4.95,United Kingdom,16
536367,22622,2,9.95,United Kingdom,17
536367,21754,3,5.95,United Kingdom,18
536367,21755,3,5.95,United Kingdom,19
536367,21777,4,7.95,United Kingdom,20
536367,48187,4,7.95,United Kingdom,21
536368,22960,6,4.25,United Kingdom,22
536368,22913,3,4.95,United Kingdom,23
536368,22912,3,4.95,United Kingdom,24
536368,22914,3,4.95,United Kingdom,25
536369,21756,3,5.95,United Kingdom,26
536370,22728,24,3.75,France,27
536370,22727,24,3.75,France,28
536370,22726,12,3.75,France,29
536370,21724,12,0.85,France,30
536370,21883,24,0.65,France,31
536370,10002,48,0.85,France,32
536370,21791,24,1.25,France,33
536370,21035,18,2.95,France,34
536370,22326,24,2.95,France,35
536370,22629,24,1.95,France,36
536370,22659,24,1.95,France,37
536370,22631,24,1.95,France,38
536370,22661,20,0.85,France,39
536370,21731,24,1.65,France,40
536370,22900,24,2.95,France,41
536370,21913,12,3.75,France,42
536370,22540,24,0.42,France,43
536370,22544,24,0.42,France,44
536370,22492,36,0.65,France,45
536370,POST,3,18.0,France,46
536371,22086,80,2.55,United Kingdom,47
536372,22632,6,1.85,United Kingdom,48
536372,22633,6,1.85,United Kingdom,49
536373,85123A,6,2.55,United Kingdom,50
536373,71053,6,3.39,United Kingdom,51
536373,84406B,8,2.75,United Kingdom,52
536373,20679,6,4.95,United Kingdom,53
536373,37370,6,1.06,United Kingdom,54
536373,21871,6,1.06,United Kingdom,55
536373,21071,6,1.06,United Kingdom,56
536373,21068,6,1.06,United Kingdom,57
536373,82483,2,4.95,United Kingdom,58
536373,82486,4,6.95,United Kingdom,59
536373,82482,6,2.1,United Kingdom,60
536373,82494L,6,2.55,United Kingdom,61
536373,84029G,6,3.39,United Kingdom,62
536373,84029E,6,3.39,United Kingdom,63
