id_data,InvoiceNo,StockCode,Quantity,UnitPrice,Country
1,536365,85123A,6.0,2.55,United Kingdom
2,536365,71053,6.0,3.39,United Kingdom
3,536365,84406B,8.0,2.75,United Kingdom
4,536365,84029G,6.0,3.39,United Kingdom
5,536365,84029E,6.0,3.39,United Kingdom
6,536365,22752,2.0,7.65,United Kingdom
7,536365,21730,6.0,4.25,United Kingdom
8,536366,22633,6.0,1.85,United Kingdom
9,536366,22632,6.0,1.85,United Kingdom
11,536367,22745,6.0,2.1,United Kingdom
12,536367,22748,6.0,2.1,United Kingdom
13,536367,22749,8.0,3.75,United Kingdom
14,536367,22310,6.0,1.65,United Kingdom
15,536367,84969,6.0,4.25,United Kingdom
16,536367,22623,3.0,4.95,United Kingdom
18,536367,21754,3.0,5.95,United Kingdom
19,536367,21755,3.0,5.95,United Kingdom
20,536367,21777,4.0,7.95,United Kingdom
21,536367,48187,4.0,7.95,United Kingdom
22,536368,22960,6.0,4.25,United Kingdom
23,536368,22913,3.0,4.95,United Kingdom
24,536368,22912,3.0,4.95,United Kingdom
25,536368,22914,3.0,4.95,United Kingdom
26,536369,21756,3.0,5.95,United Kingdom
48,536372,22632,6.0,1.85,United Kingdom
49,536372,22633,6.0,1.85,United Kingdom
50,536373,85123A,6.0,2.55,United Kingdom
51,536373,71053,6.0,3.39,United Kingdom
52,536373,84406B,8.0,2.75,United Kingdom
53,536373,20679,6.0,4.95,United Kingdom
54,536373,37370,6.0,1.06,United Kingdom
55,536373,21871,6.0,1.06,United Kingdom
56,536373,21071,6.0,1.06,United Kingdom
57,536373,21068,6.0,1.06,United Kingdom
58,536373,82483,2.0,4.95,United Kingdom
59,536373,82486,4.0,6.95,United Kingdom
60,536373,82482,6.0,2.1,United Kingdom
61,536373,82494L,6.0,2.55,United Kingdom
62,536373,84029G,6.0,3.39,United Kingdom
63,536373,84029E,6.0,3.39,United Kingdom
64,536373,22752,2.0,7.65,United Kingdom
65,536373,21730,6.0,4.25,United Kingdom
67,536375,85123A,6.0,2.55,United Kingdom
68,536375,71053,6.0,3.39,United Kingdom
69,536375,84406B,8.0,2.75,United Kingdom
70,536375,20679,6.0,4.95,United Kingdom
71,536375,37370,6.0,1.06,United Kingdom
72,536375,21871,6.0,1.06,United Kingdom
73,536375,21071,6.0,1.06,United Kingdom
74,536375,21068,6.0,1.06,United Kingdom
75,536375,82483,2.0,4.95,United Kingdom
76,536375,82486,4.0,6.95,United Kingdom
77,536375,82482,6.0,2.1,United Kingdom
78,536375,82494L,6.0,2.55,United Kingdom
79,536375,84029G,6.0,3.39,United Kingdom
80,536375,84029E,6.0,3.39,United Kingdom
81,536375,22752,2.0,7.65,United Kingdom
82,536375,21730,6.0,4.25,United Kingdom
85,536377,22632,6.0,1.85,United Kingdom
86,536377,22633,6.0,1.85,United Kingdom
87,536378,22386,10.0,1.95,United Kingdom
88,536378,85099C,10.0,1.95,United Kingdom
89,536378,21033,10.0,2.95,United Kingdom
90,536378,20723,10.0,0.85,United Kingdom
91,536378,84997B,12.0,3.75,United Kingdom
92,536378,84997C,6.0,3.75,United Kingdom
93,536378,21094,12.0,0.85,United Kingdom
94,536378,20725,10.0,1.65,United Kingdom
95,536378,21559,6.0,2.55,United Kingdom
96,536378,22352,6.0,2.55,United Kingdom
101,536378,84519A,6.0,2.95,United Kingdom
104,536378,21931,10.0,1.95,United Kingdom
105,536378,21929,10.0,1.95,United Kingdom
108,536381,84854,5.0,4.95,United Kingdom
109,536381,22411,10.0,1.95,United Kingdom
110,536381,82567,2.0,2.1,United Kingdom
111,536381,21672,6.0,1.25,United Kingdom
114,536381,71270,1.0,1.25,United Kingdom
115,536381,22262,1.0,0.85,United Kingdom
116,536381,22637,1.0,2.55,United Kingdom
117,536381,21934,10.0,1.65,United Kingdom
118,536381,21169,3.0,1.69,United Kingdom
119,536381,21166,1.0,1.95,United Kingdom
120,536381,21175,2.0,2.1,United Kingdom
121,536381,37444A,1.0,2.95,United Kingdom
122,536381,37444C,1.0,2.95,United Kingdom
123,536381,22086,4.0,2.95,United Kingdom
124,536381,22083,1.0,2.95,United Kingdom
125,536381,84971S,6.0,0.85,United Kingdom
126,536381,71270,3.0,1.25,United Kingdom
127,536381,47580,2.0,2.55,United Kingdom
128,536381,22261,1.0,0.85,United Kingdom
129,536381,84832,1.0,0.85,United Kingdom
130,536381,22644,1.0,1.45,United Kingdom
131,536381,21533,1.0,4.95,United Kingdom
132,536381,21557,2.0,2.95,United Kingdom
133,536381,15056BL,2.0,5.95,United Kingdom
134,536381,15056N,2.0,5.95,United Kingdom
135,536381,22646,4.0,1.45,United Kingdom
136,536381,22176,1.0,2.95,United Kingdom
137,536381,22438,1.0,1.95,United Kingdom
138,536381,21731,2.0,1.65,United Kingdom
139,536381,22778,3.0,3.95,United Kingdom
141,536381,21523,10.0,6.75,United Kingdom
143,536382,10002,12.0,0.85,United Kingdom
144,536382,21912,8.0,3.75,United Kingdom
145,536382,21832,12.0,1.65,United Kingdom
146,536382,22411,10.0,1.95,United Kingdom
147,536382,22379,10.0,2.1,United Kingdom
149,536382,22798,8.0,2.95,United Kingdom
150,536382,22726,4.0,3.75,United Kingdom
151,536382,22926,12.0,5.95,United Kingdom
155,C536383,35004C,1.0,4.65,United Kingdom
156,536384,82484,3.0,6.45,United Kingdom
158,536384,22464,12.0,1.65,United Kingdom
159,536384,21324,6.0,2.95,United Kingdom
160,536384,22457,12.0,2.95,United Kingdom
163,536384,22224,6.0,2.95,United Kingdom
165,536384,22189,4.0,3.95,United Kingdom
166,536384,22427,3.0,5.95,United Kingdom
167,536384,22428,6.0,6.95,United Kingdom
170,536385,22961,12.0,1.45,United Kingdom
171,536385,22960,6.0,4.25,United Kingdom
172,536385,22663,10.0,1.95,United Kingdom
173,536385,85049A,12.0,1.25,United Kingdom
174,536385,22168,2.0,8.5,United Kingdom
175,536385,22662,10.0,1.65,United Kingdom
184,536388,21754,3.0,5.95,United Kingdom
185,536388,21755,3.0,5.95,United Kingdom
186,536388,21523,2.0,7.95,United Kingdom
187,536388,21363,3.0,4.95,United Kingdom
188,536388,21411,3.0,4.25,United Kingdom
189,536388,22318,6.0,2.95,United Kingdom
190,536388,22464,12.0,1.65,United Kingdom
191,536388,22915,12.0,0.42,United Kingdom
192,536388,22922,12.0,0.85,United Kingdom
193,536388,22969,12.0,1.45,United Kingdom
194,536388,22923,12.0,0.85,United Kingdom
195,536388,21115,4.0,6.75,United Kingdom
196,536388,22469,12.0,1.65,United Kingdom
197,536388,22242,12.0,1.65,United Kingdom
212,536390,22941,2.0,8.5,United Kingdom
213,536390,22960,12.0,3.75,United Kingdom
214,536390,22961,12.0,1.45,United Kingdom
217,536390,22968,8.0,8.5,United Kingdom
224,536390,21533,12.0,4.25,United Kingdom
243,536392,22150,6.0,1.95,United Kingdom
244,536392,22619,4.0,3.75,United Kingdom
245,536392,21891,12.0,1.25,United Kingdom
246,536392,21889,12.0,1.25,United Kingdom
248,536392,22127,12.0,1.25,United Kingdom
249,536392,22128,12.0,1.25,United Kingdom
250,536392,22502,4.0,5.95,United Kingdom
251,536392,84879,16.0,1.69,United Kingdom
259,536394,21485,12.0,4.95,United Kingdom
260,536394,22349,12.0,3.75,United Kingdom
262,536394,85152,12.0,2.1,United Kingdom
265,536395,22188,8.0,3.95,United Kingdom
270,536395,21484,8.0,3.45,United Kingdom
271,536395,21314,8.0,2.1,United Kingdom
272,536395,22730,4.0,3.75,United Kingdom
273,536395,22727,8.0,3.75,United Kingdom
274,536395,22729,8.0,3.75,United Kingdom
275,536395,22726,8.0,3.75,United Kingdom
276,536395,22114,8.0,3.95,United Kingdom
279,536396,85123A,6.0,2.55,United Kingdom
280,536396,71053,6.0,3.39,United Kingdom
281,536396,84406B,8.0,2.75,United Kingdom
